ProductID,ProductName,CategoryID,Brand,UnitPrice,UnitCost
58,Necessitatibus Product 58,13,Brand 3,57.12,30.64
59,Doloribus Product 59,8,Brand 37,44.28,30.09
60,Itaque Product 60,4,Brand 14,29.92,21.45
61,Mollitia Product 61,11,Brand 15,45.28,23.91
62,Exercitationem Product 62,2,Brand 39,32.39,18.55
63,Dicta Product 63,16,Brand 39,71.79,44.51
64,Veniam Product 64,11,Brand 50,53.6,42.2
65,Aliquid Product 65,14,Brand 45,5.6,3.91
66,Dolorem Product 66,18,Brand 30,30.26,16.36
67,Ratione Product 67,2,Brand 36,23.65,18.82
68,Nostrum Product 68,6,Brand 45,49.68,26.44
69,Doloribus Product 69,7,Brand 22,39.71,27.61
70,Ab Product 70,3,Brand 27,61.31,38.02
71,Architecto Product 71,7,Brand 14,7.02,5.54
72,Explicabo Product 72,14,Brand 29,38.7,19.68
73,At Product 73,4,Brand 31,56.01,39.04
74,Nostrum Product 74,1,Brand 46,57.12,44.32
75,Ut Product 75,6,Brand 42,25.84,14.24
76,Ab Product 76,9,Brand 7,68.38,48.31
77,Pariatur Product 77,8,Brand 4,42.97,26.79
78,Odit Product 78,6,Brand 47,73.16,41.73
79,Quibusdam Product 79,1,Brand 7,26.39,20.25
80,Adipisci Product 80,10,Brand 19,9.79,5.68
81,Officia Product 81,18,Brand 18,25.13,13.74
82,Non Product 82,1,Brand 11,78.85,55.82
83,Libero Product 83,12,Brand 1,21.08,14.95
84,Velit Product 84,14,Brand 23,26.0,18.47
85,Possimus Product 85,4,Brand 43,75.16,54.17
86,Animi Product 86,3,Brand 22,35.21,22.0
87,Cum Product 87,10,Brand 7,23.37,13.85
88,Reprehenderit Product 88,18,Brand 40,29.42,20.95
89,Impedit Product 89,15,Brand 3,71.99,42.9
90,Iste Product 90,5,Brand 20,66.8,50.21
91,Vero Product 91,2,Brand 33,79.23,61.23
92,Inventore Product 92,3,Brand 43,15.97,12.31
93,Dolorum Product 93,1,Brand 42,62.83,35.18
94,Voluptate Product 94,9,Brand 12,31.9,23.12
95,Optio Product 95,6,Brand 3,48.3,33.34
96,Distinctio Product 96,16,Brand 25,15.61,11.14
97,Totam Product 97,14,Brand 39,35.76,19.74
98,Recusandae Product 98,12,Brand 15,15.09,8.59
99,Laboriosam Product 99,9,Brand 6,31.93,23.96
100,Voluptas Product 100,18,Brand 49,50.76,28.3
101,Porro Product 101,8,Brand 20,54.79,29.48
102,Repellendus Product 102,5,Brand 19,52.99,26.53
103,Consectetur Product 103,6,Brand 33,35.12,25.41
104,Debitis Product 104,7,Brand 13,23.07,17.11
105,Voluptate Product 105,18,Brand 39,54.61,31.07
106,Nam Product 106,7,Brand 31,20.57,12.57
107,Alias Product 107,17,Brand 25,75.25,47.47
108,Consequuntur Product 108,2,Brand 33,49.76,31.37
109,Ipsum Product 109,10,Brand 12,65.05,38.07
110,Numquam Product 110,6,Brand 25,58.74,46.0
111,Est Product 111,18,Brand 22,75.69,45.65
112,Nesciunt Product 112,7,Brand 22,37.08,27.67
113,Porro Product 113,12,Brand 11,3.69,2.92
114,Quasi Product 114,17,Brand 40,68.5,54.57
115,Illum Product 115,16,Brand 41,49.48,37.59
116,Pariatur Product 116,14,Brand 39,21.4,16.31
117,Tempora Product 117,11,Brand 14,34.91,20.83
118,Deleniti Product 118,16,Brand 26,9.5,5.69
119,Similique Product 119,4,Brand 36,22.17,14.56
120,Eaque Product 120,11,Brand 18,2.35,1.27
121,Sunt Product 121,15,Brand 14,41.68,32.53
122,Consectetur Product 122,13,Brand 43,78.9,48.38
123,Mollitia Product 123,14,Brand 29,77.1,52.17
124,Quidem Product 124,9,Brand 30,49.68,25.08
125,Perspiciatis Product 125,15,Brand 45,56.66,42.84
126,Nihil Product 126,14,Brand 38,52.11,26.86
127,Voluptate Product 127,15,Brand 6,68.01,35.65
128,Doloribus Product 128,7,Brand 34,77.14,44.6
129,Tenetur Product 129,15,Brand 7,76.21,45.8
130,Placeat Product 130,12,Brand 27,39.47,24.85
131,Sed Product 131,11,Brand 5,27.41,18.17
132,Possimus Product 132,1,Brand 44,41.4,21.89
133,Ea Product 133,10,Brand 17,40.33,26.98
134,Ullam Product 134,6,Brand 14,58.41,34.18
135,Ex Product 135,12,Brand 40,18.18,13.93
136,Fugit Product 136,17,Brand 21,78.7,39.79
137,Voluptatum Product 137,9,Brand 21,78.16,56.89
138,Id Product 138,11,Brand 27,3.3,2.05
139,Sed Product 139,8,Brand 32,57.18,34.48
140,Eos Product 140,9,Brand 12,5.55,4.1
141,Mollitia Product 141,16,Brand 45,35.9,23.73
142,Autem Product 142,11,Brand 29,15.09,8.11
143,Reprehenderit Product 143,5,Brand 22,76.8,39.68
144,Dignissimos Product 144,8,Brand 35,69.25,41.35
145,Aperiam Product 145,16,Brand 28,57.05,41.27
146,Ex Product 146,10,Brand 33,60.93,48.61
147,Nihil Product 147,14,Brand 49,7.56,5.49
148,Nostrum Product 148,10,Brand 37,42.35,24.28
149,Nam Product 149,18,Brand 4,60.4,42.36
150,Vel Product 150,17,Brand 23,17.28,9.78
151,Cumque Product 151,3,Brand 2,58.17,42.52
152,Expedita Product 152,5,Brand 29,68.31,45.41
153,Nemo Product 153,11,Brand 6,31.44,24.84
154,Tempora Product 154,7,Brand 1,49.61,36.1
155,Quibusdam Product 155,17,Brand 24,52.13,28.37
156,Sint Product 156,16,Brand 30,69.72,42.19
157,Pariatur Product 157,16,Brand 4,31.33,24.04
158,Enim Product 158,14,Brand 10,32.21,16.6
159,Necessitatibus Product 159,14,Brand 14,17.16,9.89
160,Eligendi Product 160,7,Brand 41,55.04,37.35
161,Mollitia Product 161,13,Brand 48,33.43,24.12
162,Maxime Product 162,4,Brand 35,21.08,10.99
163,Itaque Product 163,7,Brand 15,77.11,47.13
164,Architecto Product 164,3,Brand 31,55.01,39.29
165,Quidem Product 165,2,Brand 29,59.94,45.84
166,Iste Product 166,15,Brand 20,67.38,39.35
167,Repudiandae Product 167,15,Brand 28,29.87,16.49
168,Iure Product 168,5,Brand 25,34.25,19.64
169,Velit Product 169,18,Brand 21,32.61,23.12
170,Saepe Product 170,18,Brand 39,41.74,26.99
171,Rem Product 171,16,Brand 50,40.68,30.82
172,Incidunt Product 172,10,Brand 42,49.84,28.5
173,Ipsam Product 173,17,Brand 46,24.25,14.56
174,Quod Product 174,7,Brand 29,47.82,34.67
175,Animi Product 175,1,Brand 49,63.4,46.61
176,Nobis Product 176,15,Brand 27,39.14,26.12
177,Libero Product 177,9,Brand 10,23.95,12.14
178,Voluptate Product 178,14,Brand 30,69.59,42.2
179,Iusto Product 179,15,Brand 23,26.03,14.57
180,Culpa Product 180,11,Brand 49,8.88,5.7
181,Dolor Product 181,7,Brand 4,18.2,12.5
182,Sint Product 182,2,Brand 42,6.54,4.68
183,Numquam Product 183,9,Brand 48,46.54,23.74
184,Ipsa Product 184,13,Brand 23,33.91,24.34
185,Adipisci Product 185,10,Brand 47,13.7,7.93
186,Animi Product 186,11,Brand 42,21.04,14.67
187,Optio Product 187,11,Brand 12,30.51,23.62
188,Commodi Product 188,5,Brand 27,69.46,43.69
189,Officia Product 189,1,Brand 3,4.49,2.6
190,Tempore Product 190,3,Brand 5,4.25,2.2
191,Deserunt Product 191,10,Brand 38,21.15,16.85
192,Tenetur Product 192,14,Brand 5,53.92,28.23
193,Iure Product 193,17,Brand 37,55.78,37.79
194,Porro Product 194,11,Brand 6,33.13,17.43
195,Omnis Product 195,11,Brand 33,9.94,5.61
196,Doloremque Product 196,9,Brand 26,77.01,48.36
197,Veritatis Product 197,10,Brand 31,26.33,16.71
198,Delectus Product 198,17,Brand 42,74.02,53.98
199,Quos Product 199,16,Brand 43,33.85,16.93
200,Quisquam Product 200,14,Brand 26,58.2,40.82
201,Sunt Product 201,13,Brand 36,68.96,52.8
202,Alias Product 202,1,Brand 48,57.24,35.02
203,Totam Product 203,13,Brand 22,12.39,9.83
204,Atque Product 204,1,Brand 34,47.72,33.05
205,Deleniti Product 205,6,Brand 45,7.29,4.15
206,Dicta Product 206,6,Brand 37,20.06,14.27
207,Debitis Product 207,10,Brand 2,40.72,24.21
208,Culpa Product 208,8,Brand 40,67.38,44.51
209,Officiis Product 209,5,Brand 5,15.63,9.0
210,Autem Product 210,7,Brand 6,29.66,19.56
211,Qui Product 211,10,Brand 32,31.34,18.56
212,Ea Product 212,7,Brand 36,69.67,47.18
213,Odit Product 213,15,Brand 47,9.04,6.53
214,Nostrum Product 214,9,Brand 30,28.49,16.8
215,Hic Product 215,5,Brand 1,25.59,14.24
216,Fugiat Product 216,10,Brand 7,49.25,24.87
217,Voluptatibus Product 217,6,Brand 47,71.98,40.87
218,Qui Product 218,8,Brand 23,41.35,32.98
219,Autem Product 219,14,Brand 27,43.91,26.04
220,Iste Product 220,16,Brand 31,69.63,41.13
221,Perferendis Product 221,7,Brand 24,17.9,9.36
222,Velit Product 222,1,Brand 10,54.6,33.12
223,Voluptate Product 223,9,Brand 27,31.16,22.8
224,Commodi Product 224,3,Brand 23,43.69,24.6
225,Dolorem Product 225,17,Brand 50,50.52,33.41
226,Expedita Product 226,4,Brand 32,51.74,34.41
227,Tenetur Product 227,2,Brand 37,27.57,18.11
228,Hic Product 228,3,Brand 11,57.06,45.15
229,Odio Product 229,13,Brand 22,45.21,27.5
230,Dicta Product 230,4,Brand 25,42.47,27.1
231,Animi Product 231,6,Brand 14,61.12,40.43
232,Soluta Product 232,4,Brand 38,75.51,42.75
233,Quis Product 233,3,Brand 36,43.53,33.41
234,Repellat Product 234,2,Brand 13,61.7,48.63
235,Nihil Product 235,9,Brand 25,7.07,3.94
236,Illum Product 236,6,Brand 20,11.92,9.23
237,Tempora Product 237,12,Brand 37,10.02,6.4
238,Deserunt Product 238,2,Brand 38,67.61,48.72
239,Illum Product 239,3,Brand 33,9.93,5.9
240,Perspiciatis Product 240,7,Brand 19,38.83,20.47
241,Molestiae Product 241,13,Brand 6,8.8,4.92
242,Magni Product 242,12,Brand 24,8.54,4.77
243,Laudantium Product 243,3,Brand 21,6.21,3.52
244,In Product 244,10,Brand 19,16.81,8.46
245,Consequuntur Product 245,3,Brand 43,36.39,25.97
246,Ea Product 246,14,Brand 24,71.71,49.06
247,In Product 247,11,Brand 21,25.64,16.33
248,Dignissimos Product 248,14,Brand 16,59.83,43.36
249,Sapiente Product 249,10,Brand 8,25.82,18.98
250,Dolores Product 250,6,Brand 39,59.87,40.55
251,Quaerat Product 251,9,Brand 22,13.03,7.11
252,Corrupti Product 252,3,Brand 40,34.52,26.76
253,Suscipit Product 253,1,Brand 27,64.69,51.2
254,Similique Product 254,13,Brand 42,73.58,45.19
255,Ipsam Product 255,1,Brand 4,50.04,38.46
256,Cumque Product 256,17,Brand 41,71.28,38.47
257,Omnis Product 257,5,Brand 48,53.8,28.89
258,Perferendis Product 258,14,Brand 33,43.77,34.03
259,Dolore Product 259,3,Brand 41,13.85,10.29
260,Commodi Product 260,13,Brand 11,29.76,20.69
261,Quas Product 261,13,Brand 10,31.72,16.15
262,Animi Product 262,9,Brand 32,17.1,11.49
263,Ipsum Product 263,3,Brand 48,74.73,37.45
264,Nulla Product 264,8,Brand 9,28.93,20.21
265,Praesentium Product 265,12,Brand 32,51.46,27.73
266,Libero Product 266,15,Brand 4,12.35,8.78
267,Molestias Product 267,1,Brand 3,14.32,11.28
268,Iusto Product 268,9,Brand 36,53.56,32.24
269,Reiciendis Product 269,5,Brand 17,40.48,30.02
270,Cumque Product 270,4,Brand 10,45.41,31.02
271,Quos Product 271,11,Brand 12,8.89,6.85
272,Cum Product 272,11,Brand 44,65.29,52.15
273,In Product 273,1,Brand 46,71.0,55.3
274,Fugit Product 274,17,Brand 26,73.26,36.98
275,Qui Product 275,10,Brand 36,31.65,16.1
276,Saepe Product 276,6,Brand 17,63.72,32.1
277,Deleniti Product 277,10,Brand 31,63.09,36.53
278,Officia Product 278,13,Brand 45,76.46,60.7
279,Laudantium Product 279,2,Brand 46,77.35,52.12
280,Quo Product 280,3,Brand 41,22.06,14.36
281,Iste Product 281,17,Brand 22,58.84,37.11
282,Nesciunt Product 282,9,Brand 14,77.11,39.37
283,Inventore Product 283,11,Brand 41,72.25,54.35
284,Cupiditate Product 284,5,Brand 15,35.65,23.33
285,Facilis Product 285,17,Brand 33,40.39,25.56
286,Repellat Product 286,12,Brand 28,70.65,50.1
287,Molestiae Product 287,8,Brand 5,73.08,41.06
288,Labore Product 288,2,Brand 27,53.4,37.07
289,Esse Product 289,5,Brand 38,71.03,36.01
290,Hic Product 290,4,Brand 47,8.88,6.75
291,Vero Product 291,1,Brand 18,45.37,29.25
292,Nobis Product 292,15,Brand 6,47.95,34.82
293,Fugiat Product 293,7,Brand 33,50.0,25.25
294,Officia Product 294,9,Brand 34,27.68,18.71
295,Ut Product 295,11,Brand 47,79.25,45.47
296,Voluptatibus Product 296,10,Brand 20,15.14,7.9
297,Eveniet Product 297,4,Brand 17,57.48,36.67
298,Dolorem Product 298,2,Brand 24,45.94,26.19
299,Veniam Product 299,18,Brand 16,36.36,24.6
300,Ratione Product 300,14,Brand 31,70.85,40.0
301,Voluptates Product 301,11,Brand 47,6.39,3.62
302,Exercitationem Product 302,13,Brand 32,53.29,26.77
303,Qui Product 303,17,Brand 49,45.41,29.75
304,Et Product 304,17,Brand 48,65.55,47.92
305,Totam Product 305,11,Brand 25,67.11,47.42
306,Quas Product 306,6,Brand 24,13.64,9.99
307,Enim Product 307,18,Brand 43,75.26,41.82
308,Eos Product 308,17,Brand 11,71.1,50.84
309,Tenetur Product 309,4,Brand 34,72.28,40.87
310,Iusto Product 310,7,Brand 3,21.15,13.35
311,Quia Product 311,11,Brand 28,41.78,27.6
312,Provident Product 312,14,Brand 32,25.25,19.49
313,Facilis Product 313,17,Brand 2,51.85,35.43
314,Nobis Product 314,11,Brand 36,33.14,18.75
315,Exercitationem Product 315,9,Brand 37,77.94,46.58
316,Rem Product 316,11,Brand 10,46.84,24.54
317,Aut Product 317,7,Brand 6,29.88,23.34
318,Repudiandae Product 318,12,Brand 44,27.15,19.99
319,Excepturi Product 319,6,Brand 33,27.72,19.68
320,Ipsa Product 320,18,Brand 46,40.11,25.56
321,Magni Product 321,3,Brand 46,23.56,16.28
322,Qui Product 322,13,Brand 44,77.72,59.55
323,Molestiae Product 323,14,Brand 29,74.43,44.43
324,Eligendi Product 324,4,Brand 40,11.38,7.8
325,Hic Product 325,11,Brand 15,35.1,20.37
326,Sequi Product 326,11,Brand 5,33.69,24.6
327,Repudiandae Product 327,14,Brand 20,62.73,48.05
328,Hic Product 328,15,Brand 34,49.69,33.77
329,Vero Product 329,1,Brand 4,20.53,13.75
330,Assumenda Product 330,17,Brand 12,18.11,9.39
331,Eos Product 331,7,Brand 3,10.6,5.57
332,Harum Product 332,16,Brand 42,59.44,41.12
333,Occaecati Product 333,9,Brand 10,15.46,8.32
334,Dolore Product 334,18,Brand 48,23.9,13.49
335,Necessitatibus Product 335,6,Brand 31,62.24,38.24
336,Totam Product 336,17,Brand 50,45.16,26.02
337,Aliquid Product 337,2,Brand 6,53.08,39.35
338,Optio Product 338,2,Brand 18,70.19,35.27
339,Voluptas Product 339,10,Brand 36,17.91,8.98
340,Deserunt Product 340,11,Brand 15,67.4,42.57
341,Ab Product 341,17,Brand 26,20.88,12.95
342,In Product 342,4,Brand 23,60.26,36.03
343,Veritatis Product 343,1,Brand 23,23.26,13.34
344,Mollitia Product 344,13,Brand 3,14.03,9.6
345,Ducimus Product 345,9,Brand 48,36.12,27.0
346,Dolorum Product 346,5,Brand 32,33.43,18.08
347,Blanditiis Product 347,7,Brand 26,51.07,39.71
348,Perferendis Product 348,10,Brand 40,68.5,46.03
349,Est Product 349,5,Brand 46,10.35,6.82
350,Fugiat Product 350,14,Brand 29,78.55,56.69
351,Pariatur Product 351,5,Brand 33,74.19,45.21
352,Beatae Product 352,3,Brand 23,5.32,4.21
353,Doloribus Product 353,7,Brand 36,58.37,33.49
354,Tempore Product 354,16,Brand 30,3.53,2.13
355,Sunt Product 355,5,Brand 6,26.96,20.87
356,Porro Product 356,14,Brand 17,32.13,18.16
357,Autem Product 357,13,Brand 31,49.37,34.18
358,Autem Product 358,13,Brand 1,22.83,14.47
359,Voluptatum Product 359,1,Brand 31,49.54,37.11
360,In Product 360,4,Brand 39,8.41,5.48
361,Maiores Product 361,12,Brand 24,37.57,19.56
362,Animi Product 362,9,Brand 20,46.66,24.67
363,Assumenda Product 363,6,Brand 22,25.93,14.57
364,Labore Product 364,9,Brand 40,9.82,6.51
365,Pariatur Product 365,8,Brand 34,42.56,31.25
366,Temporibus Product 366,16,Brand 18,28.23,17.84
367,Dolore Product 367,13,Brand 50,35.88,21.38
368,Voluptates Product 368,16,Brand 2,72.04,43.84
369,Odio Product 369,9,Brand 42,25.63,18.92
370,Amet Product 370,10,Brand 15,18.4,14.63
371,Sapiente Product 371,16,Brand 43,35.69,23.12
372,Sit Product 372,14,Brand 37,28.23,15.59
373,Facere Product 373,1,Brand 38,12.99,7.53
374,Doloremque Product 374,2,Brand 32,49.77,30.93
375,Explicabo Product 375,8,Brand 20,76.06,57.77
376,Aliquam Product 376,12,Brand 38,28.97,18.52
377,Eligendi Product 377,2,Brand 43,11.75,6.04
378,Repellendus Product 378,11,Brand 42,11.6,6.68
379,Pariatur Product 379,8,Brand 50,37.48,21.98
380,Veritatis Product 380,8,Brand 43,76.95,40.13
381,Porro Product 381,9,Brand 45,71.77,47.44
382,Magni Product 382,12,Brand 24,12.41,7.95
383,Distinctio Product 383,13,Brand 17,41.04,21.8
384,Iste Product 384,16,Brand 20,28.72,15.18
385,Impedit Product 385,12,Brand 30,43.65,24.63
386,Eos Product 386,5,Brand 16,53.88,40.85
387,Eveniet Product 387,12,Brand 23,43.84,29.19
388,Dolores Product 388,12,Brand 32,67.05,48.55
389,Iusto Product 389,16,Brand 24,25.51,19.86
390,Iure Product 390,14,Brand 26,9.62,4.94
391,Explicabo Product 391,17,Brand 50,63.42,49.01
392,Laboriosam Product 392,4,Brand 50,50.99,28.45
393,Odio Product 393,7,Brand 48,15.08,10.87
394,Qui Product 394,10,Brand 29,63.39,31.73
395,Eum Product 395,4,Brand 17,3.42,2.12
396,Nulla Product 396,15,Brand 41,48.25,34.49
397,Provident Product 397,16,Brand 43,21.85,14.79
398,Blanditiis Product 398,8,Brand 19,58.19,31.27
399,Dolor Product 399,11,Brand 37,29.25,17.61
400,Tenetur Product 400,7,Brand 32,5.26,4.11
401,Cupiditate Product 401,13,Brand 3,31.08,16.68
402,Accusantium Product 402,13,Brand 7,3.98,2.01
403,Saepe Product 403,1,Brand 43,37.89,28.57
404,Voluptate Product 404,15,Brand 48,61.12,31.21
405,Quia Product 405,9,Brand 37,31.89,16.26
406,Qui Product 406,6,Brand 34,44.35,26.33
407,Occaecati Product 407,13,Brand 46,55.03,30.09
408,Illum Product 408,12,Brand 38,60.44,44.91
409,In Product 409,18,Brand 50,20.44,15.07
410,A Product 410,15,Brand 26,47.66,33.51
411,Atque Product 411,7,Brand 28,29.53,19.08
412,Eum Product 412,12,Brand 46,20.73,13.64
413,Labore Product 413,16,Brand 4,33.79,21.5
414,Consequuntur Product 414,18,Brand 14,12.36,7.18
415,Perspiciatis Product 415,7,Brand 15,8.66,6.41
416,Repellendus Product 416,7,Brand 40,65.98,33.13
417,Quo Product 417,2,Brand 39,23.22,14.87
418,Optio Product 418,6,Brand 32,68.87,47.56
419,Velit Product 419,8,Brand 28,78.1,48.54
420,Soluta Product 420,8,Brand 21,54.45,35.06
421,Sint Product 421,14,Brand 29,62.21,45.45
422,Occaecati Product 422,9,Brand 34,70.99,56.01
423,Excepturi Product 423,1,Brand 43,17.29,8.91
424,Non Product 424,8,Brand 24,37.59,27.53
425,Incidunt Product 425,12,Brand 36,36.08,26.85
426,Magnam Product 426,1,Brand 33,32.41,17.9
427,Laudantium Product 427,6,Brand 43,68.28,42.64
428,Accusantium Product 428,16,Brand 38,71.96,56.4
429,Fugit Product 429,3,Brand 10,57.19,43.8
430,Accusantium Product 430,17,Brand 25,69.39,43.63
431,Consectetur Product 431,3,Brand 9,47.5,33.33
432,Facere Product 432,6,Brand 5,76.64,44.39
433,Nostrum Product 433,11,Brand 11,53.3,39.52
434,Laborum Product 434,4,Brand 38,8.44,5.46
435,Recusandae Product 435,5,Brand 22,52.07,38.69
436,Reprehenderit Product 436,13,Brand 49,69.48,50.56
437,Tempora Product 437,9,Brand 41,37.22,25.63
438,Quidem Product 438,12,Brand 45,31.45,17.75
439,Vitae Product 439,11,Brand 18,31.23,18.3
440,Odit Product 440,17,Brand 7,7.96,5.88
441,Unde Product 441,11,Brand 6,55.63,31.38
442,Fuga Product 442,7,Brand 33,73.87,58.35
443,Nemo Product 443,5,Brand 4,55.6,31.24
444,Facere Product 444,18,Brand 7,66.39,46.94
445,Vitae Product 445,14,Brand 33,18.88,11.14
446,Nisi Product 446,9,Brand 32,9.78,7.65
447,Provident Product 447,5,Brand 11,22.29,11.33
448,Nostrum Product 448,17,Brand 16,7.81,4.37
449,Laboriosam Product 449,2,Brand 7,27.24,14.53
450,Distinctio Product 450,18,Brand 14,36.55,28.27
451,Dolores Product 451,1,Brand 33,2.89,1.86
452,Beatae Product 452,10,Brand 30,62.66,48.4
453,Ipsum Product 453,1,Brand 27,5.6,3.91
454,Optio Product 454,4,Brand 35,39.69,22.67
455,Tempora Product 455,5,Brand 48,38.27,26.07
456,Sequi Product 456,14,Brand 42,2.2,1.42
457,Aliquid Product 457,14,Brand 12,67.39,53.07
458,Ullam Product 458,2,Brand 19,40.92,27.16
459,Accusantium Product 459,13,Brand 36,67.95,34.98
460,Vero Product 460,17,Brand 25,25.38,18.89
461,A Product 461,8,Brand 43,19.34,10.61
462,Commodi Product 462,11,Brand 26,67.91,39.18
463,Numquam Product 463,10,Brand 7,35.49,24.01
464,Eos Product 464,2,Brand 21,8.5,6.08
465,Commodi Product 465,8,Brand 39,55.41,39.04
466,Eius Product 466,9,Brand 37,32.18,16.41
467,Autem Product 467,16,Brand 42,46.04,23.23
468,Dolorem Product 468,11,Brand 43,25.27,20.2
469,Officia Product 469,15,Brand 44,57.0,29.41
470,Culpa Product 470,12,Brand 36,45.08,30.3
471,Accusamus Product 471,18,Brand 10,16.65,11.22
472,Necessitatibus Product 472,1,Brand 30,38.23,22.3
473,Cupiditate Product 473,11,Brand 16,11.19,5.82
474,Possimus Product 474,13,Brand 47,21.42,11.6
475,Ea Product 475,6,Brand 26,70.22,51.88
476,Beatae Product 476,4,Brand 28,12.97,8.71
477,Consectetur Product 477,1,Brand 36,74.48,53.06
478,Reprehenderit Product 478,9,Brand 33,37.53,18.88
479,Vitae Product 479,8,Brand 13,69.46,50.83
480,Fuga Product 480,8,Brand 49,30.71,19.99
481,Distinctio Product 481,3,Brand 1,25.25,15.72
482,Beatae Product 482,11,Brand 6,36.99,23.82
483,Consectetur Product 483,9,Brand 25,28.37,19.07
484,Veritatis Product 484,12,Brand 8,62.18,31.57
485,Consectetur Product 485,3,Brand 20,14.71,7.56
486,Voluptates Product 486,3,Brand 10,65.01,50.27
487,Porro Product 487,3,Brand 37,21.07,12.62
488,Voluptatibus Product 488,16,Brand 37,42.03,28.31
489,Consequatur Product 489,11,Brand 49,74.68,56.66
490,In Product 490,16,Brand 32,37.4,19.61
491,Nihil Product 491,1,Brand 13,39.9,20.34
492,Reiciendis Product 492,15,Brand 4,34.04,26.14
493,Voluptatum Product 493,5,Brand 17,25.67,19.84
494,Voluptate Product 494,1,Brand 22,56.49,29.82
495,Molestiae Product 495,18,Brand 15,32.59,23.73
496,Nesciunt Product 496,11,Brand 14,51.23,29.29
497,Necessitatibus Product 497,9,Brand 8,32.04,23.29
498,Laudantium Product 498,13,Brand 30,37.38,23.9
499,Voluptas Product 499,2,Brand 1,54.04,33.31
500,Quas Product 500,11,Brand 42,19.51,14.69
