LoyaltyNumber,CustomerID,MembershipLevel,JoinDate,CurrentPoints,LifetimePointsEarned,LifetimePointsRedeemed
100208,208,Silver,2024-03-23,3770,50513,5479
100209,209,Silver,2025-05-11,6911,69167,37871
100210,210,Gold,2022-10-26,3593,11536,15413
100211,211,Bronze,2023-07-05,3330,2348,23750
100212,212,Silver,2024-05-10,2188,14538,3904
100213,213,Platinum,2024-07-03,5912,18364,19313
100214,214,Silver,2025-04-06,9035,55291,15892
100215,215,Bronze,2022-05-13,3679,7422,48955
100216,216,Bronze,2021-12-09,2344,49574,48043
100217,217,Bronze,2021-09-28,6958,48817,3544
100218,218,Gold,2021-11-09,9529,9769,31249
100219,219,Gold,2022-11-20,2591,4056,9626
100220,220,Bronze,2024-06-23,1294,32218,5050
100221,221,Bronze,2026-01-04,6823,19723,50162
100222,222,Bronze,2026-02-17,2295,69233,45781
100223,223,Platinum,2024-02-20,7703,54039,47353
100224,224,Bronze,2025-09-08,216,37687,7291
100225,225,Bronze,2024-11-15,526,79290,49226
100226,226,Bronze,2022-04-29,2627,1524,25977
100227,227,Gold,2023-05-02,7443,72734,46622
100228,228,Gold,2025-11-27,9372,65881,20056
100229,229,Gold,2025-08-15,6941,20652,17814
100230,230,Platinum,2024-08-07,8544,49587,8200
100231,231,Gold,2025-04-01,6560,7439,14346
100232,232,Bronze,2022-11-14,9163,79409,55162
100233,233,Bronze,2021-11-18,7674,62675,20525
100234,234,Silver,2022-07-03,6637,49968,10801
100235,235,Bronze,2022-11-05,6086,55703,12761
100236,236,Bronze,2024-09-06,1710,10298,23770
100237,237,Silver,2024-09-04,5496,3776,15697
100238,238,Bronze,2022-12-21,8873,14054,4280
100239,239,Bronze,2022-02-02,179,40616,12303
100240,240,Silver,2025-08-15,530,31601,17640
100241,241,Bronze,2025-09-12,9340,74129,2940
100242,242,Silver,2025-04-23,7926,6087,3148
100243,243,Bronze,2021-09-03,5056,1211,23373
100244,244,Gold,2024-10-10,6523,65664,12771
100245,245,Bronze,2022-10-02,6400,46740,8488
100246,246,Gold,2023-12-03,1595,43526,26691
100247,247,Gold,2026-01-01,8250,13338,32910
100248,248,Gold,2022-02-04,2460,3204,38481
100249,249,Gold,2021-11-27,7814,76955,56938
100250,250,Gold,2021-11-23,4753,21231,9931
100251,251,Silver,2023-02-23,1290,12327,47085
100252,252,Bronze,2025-08-18,3533,18563,50385
100253,253,Gold,2022-05-14,8218,67772,47757
100254,254,Silver,2025-09-24,8573,44849,29326
100255,255,Gold,2022-03-15,5554,38221,23613
100256,256,Silver,2025-11-01,7059,5344,58371
100257,257,Gold,2023-12-03,6350,31440,13685
100258,258,Platinum,2023-01-07,9943,9930,9987
100259,259,Silver,2024-05-30,8151,12867,52738
100260,260,Bronze,2023-11-28,5071,71814,56854
100261,261,Platinum,2025-06-05,1428,65493,6167
100262,262,Silver,2023-04-24,2780,38845,10582
100263,263,Bronze,2024-01-13,9445,47722,23158
100264,264,Bronze,2026-01-03,2935,60490,16904
100265,265,Platinum,2023-06-21,4194,58039,42617
100266,266,Platinum,2025-10-22,2031,74645,31998
100267,267,Bronze,2023-07-04,4696,52651,26806
100268,268,Gold,2023-05-28,2113,57880,24034
100269,269,Silver,2023-04-06,5138,49079,5471
100270,270,Silver,2021-11-14,8289,59094,17224
100271,271,Gold,2024-08-03,699,7578,48564
100272,272,Gold,2023-04-14,9188,1141,10129
100273,273,Gold,2023-08-29,4762,49359,10368
100274,274,Silver,2021-09-24,1195,29335,25442
100275,275,Gold,2023-04-21,1531,45835,30531
100276,276,Silver,2022-09-02,8767,61029,7151
100277,277,Bronze,2022-03-07,1775,52128,50345
100278,278,Silver,2023-07-08,6578,43186,4225
100279,279,Bronze,2023-02-11,9901,63839,13935
100280,280,Gold,2022-09-12,7802,15084,18243
100281,281,Silver,2025-08-01,8930,20513,30799
100282,282,Bronze,2023-09-05,3497,42067,37237
100283,283,Bronze,2023-12-26,9848,49944,4089
100284,284,Platinum,2021-08-09,5922,56475,31025
100285,285,Bronze,2023-06-22,3465,3107,49716
100286,286,Silver,2023-10-25,4421,33139,41660
100287,287,Bronze,2025-09-13,2322,9177,17950
100288,288,Silver,2024-07-18,4887,59268,57100
100289,289,Silver,2025-06-17,3507,34106,12063
100290,290,Gold,2024-05-24,1514,56268,22414
100291,291,Platinum,2024-08-04,4864,21665,13015
100292,292,Bronze,2024-08-07,6866,63227,31162
100293,293,Silver,2023-05-24,2632,57350,23245
100294,294,Platinum,2024-10-25,9344,51105,53937
100295,295,Bronze,2021-09-24,9783,26125,5099
100296,296,Gold,2022-10-16,9477,19055,21216
100297,297,Silver,2026-04-20,5185,1959,9863
100298,298,Gold,2023-04-10,2416,65563,56642
100299,299,Bronze,2021-08-04,6658,34546,34124
100300,300,Gold,2024-05-07,7381,16578,41569
100301,301,Silver,2023-07-27,9476,12872,2391
100302,302,Bronze,2022-07-11,3074,55173,45642
100303,303,Silver,2024-05-16,2721,78866,24743
100304,304,Bronze,2023-05-24,3436,25155,44540
100305,305,Silver,2023-09-10,235,48630,53331
100306,306,Bronze,2025-08-27,4947,40334,32904
100307,307,Gold,2026-01-11,2043,65522,42527
100308,308,Platinum,2022-11-22,6783,53890,23050
100309,309,Bronze,2025-04-17,8887,55916,34286
100310,310,Platinum,2023-04-25,5502,14960,11522
100311,311,Silver,2025-04-24,6113,23286,36225
100312,312,Silver,2024-04-17,8892,57231,25006
100313,313,Bronze,2026-01-25,7167,37225,46012
100314,314,Silver,2022-07-17,1625,11584,52818
100315,315,Gold,2024-04-03,1468,2253,40387
100316,316,Platinum,2024-12-12,1698,65164,49148
100317,317,Gold,2026-03-18,8924,13168,41518
100318,318,Silver,2026-04-14,9522,4377,43759
100319,319,Bronze,2023-09-18,6891,27870,14606
100320,320,Gold,2026-03-27,9037,50048,7503
100321,321,Bronze,2022-09-19,7693,16410,22977
100322,322,Platinum,2025-05-06,7601,54224,59506
100323,323,Gold,2023-12-12,6484,1096,24552
100324,324,Gold,2026-07-22,8315,37272,17538
100325,325,Gold,2023-05-02,4333,40391,54950
100326,326,Platinum,2022-11-26,6794,31761,272
100327,327,Platinum,2025-09-17,6792,4382,1017
100328,328,Bronze,2022-05-04,6134,68121,53741
100329,329,Gold,2022-04-15,5201,44020,11168
100330,330,Platinum,2023-10-09,7045,31797,36420
100331,331,Platinum,2021-11-11,3156,51652,54299
100332,332,Bronze,2026-03-26,9467,56343,8445
100333,333,Platinum,2024-01-18,6396,22869,26418
100334,334,Platinum,2023-10-29,8475,20867,28665
100335,335,Bronze,2023-11-08,2069,66193,7757
100336,336,Silver,2022-11-22,6422,34208,54875
100337,337,Silver,2026-03-31,5282,26807,6111
100338,338,Bronze,2025-02-05,7166,1612,41215
100339,339,Gold,2023-01-24,2507,3746,40507
100340,340,Gold,2024-07-03,1290,75046,25061
100341,341,Bronze,2023-02-17,2138,59568,41580
100342,342,Silver,2022-08-25,5867,24552,15710
100343,343,Silver,2022-12-30,3633,39018,12702
100344,344,Silver,2025-11-02,4018,49659,50488
100345,345,Bronze,2023-03-24,847,36140,5437
100346,346,Platinum,2024-10-29,379,76037,56815
100347,347,Bronze,2025-09-15,7522,78205,8040
100348,348,Bronze,2022-01-12,4627,34440,58628
100349,349,Bronze,2024-10-14,1267,64881,55353
100350,350,Bronze,2022-02-10,3407,51322,6597
100351,351,Silver,2025-08-17,359,54330,4821
100352,352,Silver,2026-02-05,1250,27663,45045
100353,353,Silver,2023-10-04,5137,59197,52989
100354,354,Bronze,2024-10-16,4894,1429,59220
100355,355,Bronze,2025-05-05,9294,79615,56020
100356,356,Bronze,2023-10-04,5616,45553,31713
100357,357,Platinum,2024-02-12,9830,71728,328
100358,358,Bronze,2021-08-12,4169,16037,12638
100359,359,Silver,2022-10-11,8781,3119,33947
100360,360,Silver,2026-03-09,2496,28451,56811
100361,361,Bronze,2026-07-02,3554,3966,21465
100362,362,Bronze,2023-04-29,1367,16691,17536
100363,363,Bronze,2022-05-07,3264,12154,22842
100364,364,Gold,2025-05-05,4822,61316,48837
100365,365,Gold,2026-01-09,7144,67294,26210
100366,366,Platinum,2022-12-08,4097,22770,12968
100367,367,Silver,2022-06-11,4605,51588,6743
100368,368,Silver,2025-06-23,9626,40940,10856
100369,369,Gold,2024-10-31,7992,56915,57858
100370,370,Silver,2025-01-04,9770,35708,53470
100371,371,Bronze,2024-08-06,1762,79699,25103
100372,372,Silver,2025-11-13,9292,46357,24507
100373,373,Gold,2024-06-09,1052,59004,10960
100374,374,Gold,2023-08-09,8378,33269,38461
100375,375,Silver,2026-04-09,9894,69633,23085
100376,376,Bronze,2025-04-23,1878,23680,53021
100377,377,Bronze,2023-03-22,3046,46990,16077
100378,378,Bronze,2023-10-18,6089,48854,9505
100379,379,Gold,2026-07-14,2003,1362,20879
100380,380,Silver,2025-01-26,5388,28119,30498
100381,381,Silver,2025-11-25,5268,30593,36807
100382,382,Bronze,2024-01-31,4646,78979,13905
100383,383,Silver,2025-06-19,1686,73625,18222
100384,384,Gold,2025-09-10,1225,75328,58501
100385,385,Silver,2021-11-27,7130,41752,53306
100386,386,Bronze,2023-01-22,3229,6609,52607
100387,387,Silver,2023-05-18,766,36068,27606
100388,388,Bronze,2023-02-14,7418,22531,39415
100389,389,Bronze,2021-11-28,6272,31088,37775
100390,390,Bronze,2022-05-31,292,75565,304
100391,391,Platinum,2025-09-18,4659,17278,55157
100392,392,Platinum,2023-01-27,606,70022,34571
100393,393,Bronze,2023-05-07,266,9203,30794
100394,394,Bronze,2025-08-13,6800,39552,18001
100395,395,Bronze,2026-05-25,5665,52573,5227
100396,396,Silver,2021-09-28,5131,64825,40129
100397,397,Bronze,2022-06-03,4889,59682,32331
100398,398,Gold,2025-12-19,1989,49108,40499
100399,399,Bronze,2024-04-08,3670,6369,54097
100400,400,Bronze,2021-10-07,1722,42417,56451
100401,401,Silver,2026-02-28,7138,29767,11153
100402,402,Bronze,2025-03-10,6043,70558,323
100403,403,Platinum,2025-12-20,860,34137,57889
100404,404,Gold,2025-03-06,1815,6391,19941
100405,405,Bronze,2022-12-25,5395,49849,17688
100406,406,Silver,2021-11-05,2257,76574,30192
100407,407,Bronze,2024-12-07,5231,19498,49350
100408,408,Silver,2025-08-26,6771,58660,43793
100409,409,Bronze,2022-10-25,8644,31625,37872
100410,410,Silver,2024-09-13,8029,36871,21096
100411,411,Gold,2022-06-28,7908,29700,6016
100412,412,Bronze,2021-10-14,4853,10952,23134
100413,413,Silver,2024-05-07,3971,27086,45545
100414,414,Bronze,2023-01-12,8103,7999,13924
100415,415,Bronze,2026-04-14,3541,61461,53641
100416,416,Bronze,2022-05-14,7989,13801,22311
100417,417,Bronze,2022-08-21,9675,69259,33680
100418,418,Gold,2022-05-18,5108,59609,42945
100419,419,Bronze,2024-05-05,8265,13949,59908
100420,420,Bronze,2025-10-18,5957,50638,29650
100421,421,Gold,2025-06-06,8412,26710,51119
100422,422,Silver,2025-05-17,1124,36516,27727
100423,423,Bronze,2022-03-22,5032,75760,42492
100424,424,Bronze,2025-07-03,7552,14147,48826
100425,425,Bronze,2021-08-08,271,60504,12257
100426,426,Bronze,2024-03-24,7802,69684,29664
100427,427,Bronze,2024-09-01,1938,72229,5509
100428,428,Bronze,2024-01-01,3474,19842,26013
100429,429,Silver,2025-03-24,8321,43843,3483
100430,430,Silver,2026-02-10,6058,12920,3220
100431,431,Silver,2025-02-25,6923,25519,19267
100432,432,Bronze,2022-04-02,2894,77963,18083
100433,433,Silver,2025-05-21,8087,68076,28414
100434,434,Bronze,2024-10-03,817,32729,7279
100435,435,Bronze,2026-06-20,870,4777,37698
100436,436,Bronze,2024-02-11,1078,69847,6621
100437,437,Bronze,2023-05-02,6628,51468,25748
100438,438,Bronze,2024-03-29,4395,65003,13481
100439,439,Bronze,2022-06-19,3335,45664,41739
100440,440,Bronze,2022-12-25,9769,37845,48095
100441,441,Bronze,2021-09-12,3032,66060,59492
100442,442,Gold,2025-06-17,7811,40119,55873
100443,443,Platinum,2024-04-28,3909,22412,20651
100444,444,Silver,2025-10-30,2730,24655,21768
100445,445,Gold,2024-09-01,2323,1769,43649
100446,446,Silver,2021-10-05,5473,2829,11633
100447,447,Platinum,2025-09-23,1261,22477,44512
100448,448,Gold,2023-10-25,159,77957,23078
100449,449,Platinum,2024-09-03,9554,231,32001
100450,450,Gold,2024-02-22,7742,14437,2960
100451,451,Gold,2023-10-20,9294,38197,54746
100452,452,Bronze,2025-11-06,8243,22028,49479
100453,453,Bronze,2024-04-13,1538,13206,19962
100454,454,Gold,2024-07-07,5499,59425,32156
100455,455,Gold,2024-07-28,8940,33830,43477
100456,456,Silver,2024-05-29,5968,60229,888
100457,457,Gold,2023-01-08,4933,43843,58416
100458,458,Silver,2024-02-24,9760,63585,7389
100459,459,Bronze,2025-01-07,8508,2816,9692
100460,460,Platinum,2021-12-18,3608,18664,23409
100461,461,Silver,2023-02-01,4003,75805,48562
100462,462,Silver,2022-06-22,7056,47209,13520
100463,463,Gold,2023-01-09,3175,49616,41860
100464,464,Bronze,2023-12-24,4487,71523,58931
100465,465,Platinum,2026-03-01,8632,23031,17387
100466,466,Platinum,2022-12-15,5715,43510,25626
100467,467,Silver,2025-11-13,4526,40643,12489
100468,468,Bronze,2023-09-07,8520,45093,54668
100469,469,Silver,2026-06-30,7101,59741,37136
100470,470,Platinum,2024-06-28,5685,37902,7221
100471,471,Platinum,2024-04-04,8174,19384,30560
100472,472,Silver,2025-02-24,8571,38082,40881
100473,473,Silver,2025-01-16,2664,39899,31904
100474,474,Bronze,2022-10-07,4828,2143,29744
100475,475,Bronze,2026-03-19,4636,77835,8089
100476,476,Bronze,2025-02-27,5010,767,28201
100477,477,Bronze,2024-10-25,10,6640,16477
100478,478,Bronze,2021-09-18,4641,65897,43602
100479,479,Platinum,2023-09-04,9187,20421,5636
100480,480,Gold,2026-05-08,2337,25885,28314
100481,481,Silver,2025-11-26,1322,38216,14343
100482,482,Bronze,2024-10-27,5810,32701,53196
100483,483,Silver,2022-06-03,6328,55486,26156
100484,484,Platinum,2024-12-02,1607,34343,19793
100485,485,Silver,2026-02-25,2839,74012,28561
100486,486,Silver,2025-12-09,5283,75881,9121
100487,487,Silver,2024-05-27,3268,32870,8892
100488,488,Silver,2021-08-25,3268,39560,19988
100489,489,Bronze,2024-06-06,9284,60544,35771
100490,490,Bronze,2025-12-12,7158,12688,9083
100491,491,Silver,2023-08-04,5132,66136,44902
100492,492,Gold,2022-07-17,7673,46524,28027
100493,493,Silver,2024-04-30,6721,60561,1813
100494,494,Platinum,2024-09-30,432,55270,5795
100495,495,Gold,2025-09-06,4954,31904,38032
100496,496,Silver,2021-09-03,2085,71307,58976
100497,497,Silver,2025-03-26,4806,7117,49501
100498,498,Gold,2024-01-28,2063,52914,43914
100499,499,Bronze,2023-04-04,8487,60422,54997
100500,500,Bronze,2023-10-29,896,35512,54387
100501,501,Platinum,2023-07-19,1753,43810,38950
100502,502,Bronze,2023-10-19,4760,74213,31553
100503,503,Silver,2023-10-18,997,16017,48527
100504,504,Silver,2026-08-04,8369,7049,45978
100505,505,Bronze,2022-02-05,2361,73768,48524
100506,506,Platinum,2024-12-13,2234,29400,58658
100507,507,Silver,2021-12-17,2535,39538,41172
100508,508,Bronze,2023-10-15,105,63664,40872
100509,509,Silver,2024-10-13,1879,8900,2
100510,510,Bronze,2026-06-17,1983,68234,6348
100511,511,Bronze,2023-08-31,1697,62194,1615
100512,512,Gold,2026-05-06,7271,51311,3647
100513,513,Platinum,2024-10-09,4913,53126,31701
100514,514,Platinum,2024-06-27,3849,71759,17057
100515,515,Gold,2025-09-02,7194,16247,28334
100516,516,Bronze,2024-05-30,354,24323,9285
100517,517,Gold,2022-05-12,3943,22483,33522
100518,518,Gold,2025-09-10,8956,26360,31205
100519,519,Silver,2024-01-28,4742,13209,38585
100520,520,Silver,2021-10-31,4508,51373,25285
100521,521,Silver,2026-04-16,1758,60912,27321
100522,522,Gold,2023-02-01,2427,3766,18574
100523,523,Silver,2024-05-14,9244,51143,722
100524,524,Silver,2024-04-01,558,58358,2793
100525,525,Platinum,2023-06-08,5811,18358,30664
100526,526,Gold,2025-10-21,7509,36394,597
100527,527,Platinum,2025-12-27,5861,65719,56088
100528,528,Gold,2025-06-25,3453,45822,59149
100529,529,Gold,2026-06-25,6399,67345,4113
100530,530,Bronze,2023-12-08,2480,46219,42987
100531,531,Gold,2025-02-16,5558,60325,46870
100532,532,Gold,2024-12-14,2294,36582,51443
100533,533,Gold,2022-06-23,4963,51733,4470
100534,534,Platinum,2024-08-13,7925,49451,30916
100535,535,Silver,2026-01-08,2955,75602,46432
100536,536,Platinum,2023-06-01,8608,34077,8481
100537,537,Silver,2021-09-05,9647,76216,22812
100538,538,Silver,2023-08-18,6615,8956,2944
100539,539,Bronze,2024-01-30,2607,30469,6326
100540,540,Silver,2022-01-04,8182,62544,21211
100541,541,Gold,2025-04-04,3876,13919,58968
100542,542,Gold,2025-08-04,6292,55157,4218
100543,543,Bronze,2022-09-02,4103,15104,2452
100544,544,Gold,2022-06-10,1194,57972,50027
100545,545,Bronze,2025-11-11,482,22915,21047
100546,546,Bronze,2021-12-10,7364,49596,8730
